epoch,step,train_loss,step_time_ms
14,300,0.060632,318.744
14,350,0.060455,318.927
14,400,0.068884,319.246
14,450,0.059130,319.159
14,500,0.060110,318.950
14,550,0.058746,318.842
14,600,0.066249,318.692
14,650,0.059763,318.603
14,700,0.064683,318.648
14,750,0.062459,318.940
15,0,0.055756,320.675
15,50,0.063108,319.146
15,100,0.059236,319.598
15,150,0.067280,319.197
15,200,0.064001,319.339
15,250,0.061925,319.118
15,300,0.060640,319.293
15,350,0.060451,319.212
15,400,0.068874,319.027
15,450,0.059135,319.164
15,500,0.060112,320.564
15,550,0.058745,328.999
15,600,0.066255,323.075
15,650,0.059765,322.945
15,700,0.064687,332.397
15,750,0.062459,319.303
16,0,0.055759,320.541
16,50,0.063109,318.986
16,100,0.059236,319.329
16,150,0.067275,318.954
16,200,0.064009,319.057
16,250,0.061928,320.132
16,300,0.060644,319.047
16,350,0.060448,318.897
16,400,0.068869,319.072
16,450,0.059137,318.819
16,500,0.060114,318.719
16,550,0.058745,318.864
16,600,0.066259,319.108
16,650,0.059766,318.958
16,700,0.064689,318.419
16,750,0.062460,319.002
17,0,0.055761,320.899
17,50,0.063109,319.289
17,100,0.059237,319.031
17,150,0.067273,326.107
17,200,0.064014,319.020
17,250,0.061930,319.103
17,300,0.060647,319.092
17,350,0.060447,319.009
17,400,0.068866,318.750
17,450,0.059139,319.191
17,500,0.060115,319.359
17,550,0.058745,318.934
17,600,0.066261,318.856
17,650,0.059766,318.727
17,700,0.064691,319.213
17,750,0.062460,319.148
18,0,0.055762,321.762
18,50,0.063109,319.119
18,100,0.059237,318.610
18,150,0.067271,318.870
18,200,0.064017,319.282
18,250,0.061931,318.702
18,300,0.060648,319.012
18,350,0.060446,319.056
18,400,0.068864,318.868
18,450,0.059140,318.677
18,500,0.060116,318.587
18,550,0.058745,319.591
18,600,0.066262,318.915
18,650,0.059767,319.106
18,700,0.064691,319.411
18,750,0.062460,319.226
19,0,0.055762,320.309
19,50,0.063109,319.082
19,100,0.059237,318.985
19,150,0.067270,318.996
19,200,0.064018,318.720
